图标,名称,来源版本,主题,图鉴编号,原始稀有度,原始价值,官方效果,官方描述,解锁条件,游戏稀有度（可编辑）,游戏价值（可编辑）,游戏效果（可编辑）,启用（可编辑）,备注（可编辑）,内部ID,图标URL
,脱水仙人掌干,IS1,刻俄柏的灰蕈迷境,2,NORMAL,8,可携带干员+1,这种干缩的奇怪植物看起来并不好吃，而玻利瓦尔人则拿它来泡水喝。,,,,,是,,relic_2,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_2.png
,风干大蕉果,IS1,刻俄柏的灰蕈迷境,3,NORMAL,8,可携带干员+1,蕉兰果是一种生长在干旱地区的水果，口味极佳，风干后更容易保存。,在一次【源石虫赛跑】事件中，连续下注不小于10次,,,,是,,relic_3,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_3.png
,商队盒饭,IS1,刻俄柏的灰蕈迷境,4,RARE,12,可携带干员+2,哥伦比亚城际商队内部发放的方便食品，油炸，热量很高，味道很好，不太健康。,在多局游戏中累计招募总共50名干员（初始不计算）,,,,是,,relic_4,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_4.png
,半盒沙虫罐头,IS1,刻俄柏的灰蕈迷境,5,RARE,12,可携带干员+2,“切碎的沙虫用橄榄油浸泡，散发着自然的清香！”广告是这么说的，别当真。恶......,,,,,是,,relic_5,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_5.png
,维多利亚军粮,IS1,刻俄柏的灰蕈迷境,6,SUPER_RARE,16,可携带干员+3,前维多利亚士官这么描述：“量大管饱，难以下咽，吃不死人。”,,,,,是,,relic_6,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_6.png
,废旧地图,IS1,刻俄柏的灰蕈迷境,7,NORMAL,8,可同时部署人数+1,一张破旧发黄的地图，描绘了附近的地理面貌，可能有错误的记述和忘了标的悬崖。,,,,,是,,relic_7,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_7.png
,单筒望远镜,IS1,刻俄柏的灰蕈迷境,8,NORMAL,8,可同时部署人数+1,用黄铜装饰的，充满中古风味的单筒望远镜，其实看不了多远。,,,,,是,,relic_8,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_8.png
,全息粉粉沙盒,IS1,刻俄柏的灰蕈迷境,9,RARE,12,可同时部署人数+2,一套奇怪的全息投影地形沙盒模拟装置，不知为什么，有关生物的投影都是粉色的。别碰盒顶那颗眼睛。,,,,,是,,relic_9,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_9.png
,单人睡袋,IS1,刻俄柏的灰蕈迷境,10,NORMAL,8,希望+4,供给单人使用的睡袋，硬挤一挤姑且能睡下两个人。别这么做。,,,,,是,,relic_10,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_10.png
,破烂帐篷,IS1,刻俄柏的灰蕈迷境,11,NORMAL,8,希望+4,用木棍和篷布搭建的帐篷，感觉风一刮就会塌掉。材料都是现找的。,,,,,是,,relic_11,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_11.png
