canonical_key,is,theme,topic_id,order_id,group_id,category,relic_id,name,official_rarity,official_value,effect,description,unlock,icon_id,icon_url,local_icon,is_special,enroll_id,game_rarity,game_value,game_effect,enabled,notes,params_json,mechanics_json,raw_json
脱水仙人掌干,IS1,刻俄柏的灰蕈迷境,legacy_roguelike,2,,,relic_2,脱水仙人掌干,NORMAL,8,可携带干员+1,这种干缩的奇怪植物看起来并不好吃，而玻利瓦尔人则拿它来泡水喝。,,relic_2,,,否,,,,,是,,,,"{""id"":""relic_2"",""name"":""脱水仙人掌干"",""description"":""这种干缩的奇怪植物看起来并不好吃，而玻利瓦尔人则拿它来泡水喝。"",""usage"":""可携带干员+1"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""relic_2"",""type"":""RELIC"",""rarity"":""NORMAL"",""value"":8,""sortId"":2,""unlockCond"":null,""unlockCondDesc"":null,""unlockCondParams"":[],""stableUnlockCond"":null}"
风干大蕉果,IS1,刻俄柏的灰蕈迷境,legacy_roguelike,3,,,relic_3,风干大蕉果,NORMAL,8,可携带干员+1,蕉兰果是一种生长在干旱地区的水果，口味极佳，风干后更容易保存。,在一次【源石虫赛跑】事件中，连续下注不小于10次,relic_3,,,否,,,,,是,,,,"{""id"":""relic_3"",""name"":""风干大蕉果"",""description"":""蕉兰果是一种生长在干旱地区的水果，口味极佳，风干后更容易保存。"",""usage"":""可携带干员+1"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""relic_3"",""type"":""RELIC"",""rarity"":""NORMAL"",""value"":8,""sortId"":3,""unlockCond"":""SceneChooseCount"",""unlockCondDesc"":""在一次【源石虫赛跑】事件中，连续下注不小于10次"",""unlockCondParams"":[""choice_c1_1"",""10""],""stableUnlockCond"":null}"
商队盒饭,IS1,刻俄柏的灰蕈迷境,legacy_roguelike,4,,,relic_4,商队盒饭,RARE,12,可携带干员+2,哥伦比亚城际商队内部发放的方便食品，油炸，热量很高，味道很好，不太健康。,在多局游戏中累计招募总共50名干员（初始不计算）,relic_4,,,否,,,,,是,,,,"{""id"":""relic_4"",""name"":""商队盒饭"",""description"":""哥伦比亚城际商队内部发放的方便食品，油炸，热量很高，味道很好，不太健康。"",""usage"":""可携带干员+2"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""relic_4"",""type"":""RELIC"",""rarity"":""RARE"",""value"":12,""sortId"":4,""unlockCond"":""StableRecruitChar"",""unlockCondDesc"":""在多局游戏中累计招募总共50名干员（初始不计算）"",""unlockCondParams"":[""50""],""stableUnlockCond"":{""unlockCondDetail"":"""",""unlockCnt"":50}}"
半盒沙虫罐头,IS1,刻俄柏的灰蕈迷境,legacy_roguelike,5,,,relic_5,半盒沙虫罐头,RARE,12,可携带干员+2,“切碎的沙虫用橄榄油浸泡，散发着自然的清香！”广告是这么说的，别当真。恶......,,relic_5,,,否,,,,,是,,,,"{""id"":""relic_5"",""name"":""半盒沙虫罐头"",""description"":""“切碎的沙虫用橄榄油浸泡，散发着自然的清香！”广告是这么说的，别当真。恶......"",""usage"":""可携带干员+2"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""relic_5"",""type"":""RELIC"",""rarity"":""RARE"",""value"":12,""sortId"":5,""unlockCond"":null,""unlockCondDesc"":null,""unlockCondParams"":[],""stableUnlockCond"":null}"
维多利亚军粮,IS1,刻俄柏的灰蕈迷境,legacy_roguelike,6,,,relic_6,维多利亚军粮,SUPER_RARE,16,可携带干员+3,前维多利亚士官这么描述：“量大管饱，难以下咽，吃不死人。”,,relic_6,,,否,,,,,是,,,,"{""id"":""relic_6"",""name"":""维多利亚军粮"",""description"":""前维多利亚士官这么描述：“量大管饱，难以下咽，吃不死人。”"",""usage"":""可携带干员+3"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""relic_6"",""type"":""RELIC"",""rarity"":""SUPER_RARE"",""value"":16,""sortId"":6,""unlockCond"":null,""unlockCondDesc"":null,""unlockCondParams"":[],""stableUnlockCond"":null}"
废旧地图,IS1,刻俄柏的灰蕈迷境,legacy_roguelike,7,,,relic_7,废旧地图,NORMAL,8,可同时部署人数+1,一张破旧发黄的地图，描绘了附近的地理面貌，可能有错误的记述和忘了标的悬崖。,,relic_7,,,否,,,,,是,,,,"{""id"":""relic_7"",""name"":""废旧地图"",""description"":""一张破旧发黄的地图，描绘了附近的地理面貌，可能有错误的记述和忘了标的悬崖。"",""usage"":""可同时部署人数+1"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""relic_7"",""type"":""RELIC"",""rarity"":""NORMAL"",""value"":8,""sortId"":7,""unlockCond"":null,""unlockCondDesc"":null,""unlockCondParams"":[],""stableUnlockCond"":null}"
单筒望远镜,IS1,刻俄柏的灰蕈迷境,legacy_roguelike,8,,,relic_8,单筒望远镜,NORMAL,8,可同时部署人数+1,用黄铜装饰的，充满中古风味的单筒望远镜，其实看不了多远。,,relic_8,,,否,,,,,是,,,,"{""id"":""relic_8"",""name"":""单筒望远镜"",""description"":""用黄铜装饰的，充满中古风味的单筒望远镜，其实看不了多远。"",""usage"":""可同时部署人数+1"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""relic_8"",""type"":""RELIC"",""rarity"":""NORMAL"",""value"":8,""sortId"":8,""unlockCond"":null,""unlockCondDesc"":null,""unlockCondParams"":[],""stableUnlockCond"":null}"
全息粉粉沙盒,IS1,刻俄柏的灰蕈迷境,legacy_roguelike,9,,,relic_9,全息粉粉沙盒,RARE,12,可同时部署人数+2,一套奇怪的全息投影地形沙盒模拟装置，不知为什么，有关生物的投影都是粉色的。别碰盒顶那颗眼睛。,,relic_9,,,否,,,,,是,,,,"{""id"":""relic_9"",""name"":""全息粉粉沙盒"",""description"":""一套奇怪的全息投影地形沙盒模拟装置，不知为什么，有关生物的投影都是粉色的。别碰盒顶那颗眼睛。"",""usage"":""可同时部署人数+2"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""relic_9"",""type"":""RELIC"",""rarity"":""RARE"",""value"":12,""sortId"":9,""unlockCond"":null,""unlockCondDesc"":null,""unlockCondParams"":[],""stableUnlockCond"":null}"
单人睡袋,IS1,刻俄柏的灰蕈迷境,legacy_roguelike,10,,,relic_10,单人睡袋,NORMAL,8,希望+4,供给单人使用的睡袋，硬挤一挤姑且能睡下两个人。别这么做。,,relic_10,,,否,,,,,是,,,,"{""id"":""relic_10"",""name"":""单人睡袋"",""description"":""供给单人使用的睡袋，硬挤一挤姑且能睡下两个人。别这么做。"",""usage"":""希望+4"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""relic_10"",""type"":""RELIC"",""rarity"":""NORMAL"",""value"":8,""sortId"":10,""unlockCond"":null,""unlockCondDesc"":null,""unlockCondParams"":[],""stableUnlockCond"":null}"
破烂帐篷,IS1,刻俄柏的灰蕈迷境,legacy_roguelike,11,,,relic_11,破烂帐篷,NORMAL,8,希望+4,用木棍和篷布搭建的帐篷，感觉风一刮就会塌掉。材料都是现找的。,,relic_11,,,否,,,,,是,,,,"{""id"":""relic_11"",""name"":""破烂帐篷"",""description"":""用木棍和篷布搭建的帐篷，感觉风一刮就会塌掉。材料都是现找的。"",""usage"":""希望+4"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""relic_11"",""type"":""RELIC"",""rarity"":""NORMAL"",""value"":8,""sortId"":11,""unlockCond"":null,""unlockCondDesc"":null,""unlockCondParams"":[],""stableUnlockCond"":null}"
