name,current_is1_pool,item_kind,classification_reason,official_rarity,game_rarity,game_value,demand_multiplier,grid_size,size_review,is,theme,order_id,is1_order_id,effect,game_effect,description,unlock,apex_rank,apex_selected,enabled,notes,relic_id,local_icon
乌萨斯列巴,是,收集品,携带/编队（当前系统无对应）,NORMAL,普通,1100,1.45x,1x1,是,IS2,傀影与猩红孤钻,079,1,可携带干员+1,,一种来自乌萨斯的食物，吃起来有一股子浓烈的发酵味儿。就是酸。,,,否,是,,rogue_1_relic_a35,../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_a35.png
脱水仙人掌干,是,收集品,携带/编队（当前系统无对应）,NORMAL,普通,1600,1.45x,1x1,是,IS1,刻俄柏的灰蕈迷境,2,2,可携带干员+1,,这种干缩的奇怪植物看起来并不好吃，而玻利瓦尔人则拿它来泡水喝。,,,否,是,,relic_2,
风干大蕉果,是,收集品,携带/编队（当前系统无对应）,NORMAL,普通,1600,1.45x,1x1,否,IS1,刻俄柏的灰蕈迷境,3,3,可携带干员+1,,蕉兰果是一种生长在干旱地区的水果，口味极佳，风干后更容易保存。,在一次【源石虫赛跑】事件中，连续下注不小于10次,,否,是,,relic_3,
商队盒饭,是,收集品,携带/编队（当前系统无对应）,RARE,稀有,4400,1.60x,2x1,否,IS1,刻俄柏的灰蕈迷境,4,4,可携带干员+2,,哥伦比亚城际商队内部发放的方便食品，油炸，热量很高，味道很好，不太健康。,在多局游戏中累计招募总共50名干员（初始不计算）,,否,是,,relic_4,
半盒沙虫罐头,是,收集品,携带/编队（当前系统无对应）,RARE,稀有,4300,1.60x,2x1,否,IS1,刻俄柏的灰蕈迷境,5,5,可携带干员+2,,“切碎的沙虫用橄榄油浸泡，散发着自然的清香！”广告是这么说的，别当真。恶......,,,否,是,,relic_5,
维多利亚军粮,是,收集品,携带/编队（当前系统无对应）,SUPER_RARE,珍贵,8100,1.80x,1x1,是,IS1,刻俄柏的灰蕈迷境,6,6,可携带干员+3,,前维多利亚士官这么描述：“量大管饱，难以下咽，吃不死人。”,,,否,是,,relic_6,
废旧地图,是,收集品,部署系统（当前系统无对应）,NORMAL,普通,1800,1.45x,2x1,否,IS1,刻俄柏的灰蕈迷境,7,7,可同时部署人数+1,,一张破旧发黄的地图，描绘了附近的地理面貌，可能有错误的记述和忘了标的悬崖。,,,否,是,,relic_7,
单筒望远镜,是,收集品,部署系统（当前系统无对应）,NORMAL,普通,1800,1.45x,1x2,否,IS1,刻俄柏的灰蕈迷境,8,8,可同时部署人数+1,,用黄铜装饰的，充满中古风味的单筒望远镜，其实看不了多远。,,,否,是,,relic_8,
全息粉粉沙盒,是,收集品,部署系统（当前系统无对应）,RARE,稀有,5400,1.60x,2x2,否,IS1,刻俄柏的灰蕈迷境,9,9,可同时部署人数+2,,一套奇怪的全息投影地形沙盒模拟装置，不知为什么，有关生物的投影都是粉色的。别碰盒顶那颗眼睛。,,,否,是,,relic_9,
单人睡袋,是,收集品,希望（当前系统无对应）,NORMAL,普通,1600,1.45x,1x1,是,IS1,刻俄柏的灰蕈迷境,10,10,希望+4,,供给单人使用的睡袋，硬挤一挤姑且能睡下两个人。别这么做。,,,否,是,,relic_10,
