canonical_key,is,theme,topic_id,order_id,group_id,category,relic_id,name,official_rarity,official_value,effect,description,unlock,icon_id,icon_url,local_icon,is_special,enroll_id,game_rarity,game_value,game_effect,enabled,notes,params_json,mechanics_json,raw_json,duplicate_count,appears_in,variant_changed,effect_variants,source_ids
"""剑锤""",IS2,傀影与猩红孤钻,rogue_1,196,6,,rogue_1_relic_m04,“剑锤”,SUPER_RARE,,所有干员的部署费用+5，但攻击力、防御力和生命+10%,插在巨大石头上的剑，到底是谁这么无聊啊。,,rogue_1_relic_m04,https://torappu.prts.wiki/assets/roguelike_topic_itempic/rogue_1_relic_m04.png,../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_m04.png,否,,,,,是,,"{""id"":""rogue_1_relic_m04"",""checkCharBoxTypes"":{},""checkCharBoxParams"":{}}","{""id"":""rogue_1_relic_m04"",""buffs"":[{""key"":""char_attribute_mul"",""blackboard"":[{""key"":""selector.profession"",""value"":0.0,""valueStr"":""warrior|sniper|tank|medic|support|caster|special|pioneer""},{""key"":""atk"",""value"":0.1,""valueStr"":null},{""key"":""def"",""value"":0.1,""valueStr"":null},{""key"":""max_hp"",""value"":0.1,""valueStr"":null}]},{""key"":""char_attribute_add"",""blackboard"":[{""key"":""selector.profession"",""value"":0.0,""valueStr"":""warrior|sniper|tank|medic|support|caster|special|pioneer""},{""key"":""cost"",""value"":5.0,""valueStr"":null}]}]}","{""id"":""rogue_1_relic_m04"",""name"":""“剑锤”"",""description"":""插在巨大石头上的剑，到底是谁这么无聊啊。"",""usage"":""所有干员的部署费用+5，但攻击力、防御力和生命+10%"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""rogue_1_relic_m04"",""itemIconGroupId"":null,""type"":""RELIC"",""subType"":""NONE"",""rarity"":""SUPER_RARE"",""sortId"":165,""canSacrifice"":false,""tinyIconColor"":null,""unlockCondDesc"":null,""shortUsage"":null}",3,IS2 / IS6 / IS7,是,IS2: 所有干员的部署费用+5，但攻击力、防御力和生命+10% || IS6: 所有干员的部署费用+3，但攻击力、防御力和生命+20% || IS7: 所有干员的部署费用+3，但攻击力、防御力和生命+50%,IS2:rogue_1_relic_m04 | IS6:rogue_5_relic_legacy_149 | IS7:rogue_6_relic_legacy_142
"""剑锤""",IS6,岁的界园志异,rogue_5,095,3,,rogue_5_relic_legacy_149,“剑锤”,RARE,,所有干员的部署费用+3，但攻击力、防御力和生命+20%,插在巨大石头上的剑，到底是谁这么无聊啊。,,rogue_5_relic_legacy_149,https://torappu.prts.wiki/assets/roguelike_topic_itempic/rogue_5_relic_legacy_149.png,../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_legacy_149.png,否,,,,,是,,"{""id"":""rogue_5_relic_legacy_149"",""checkCharBoxTypes"":{},""checkCharBoxParams"":{}}","{""id"":""rogue_5_relic_legacy_149"",""buffs"":[{""key"":""char_attribute_mul"",""blackboard"":[{""key"":""selector.profession"",""value"":0.0,""valueStr"":""warrior|sniper|tank|medic|support|caster|special|pioneer""},{""key"":""atk"",""value"":0.2,""valueStr"":null},{""key"":""def"",""value"":0.2,""valueStr"":null},{""key"":""max_hp"",""value"":0.2,""valueStr"":null}]},{""key"":""char_attribute_add"",""blackboard"":[{""key"":""selector.profession"",""value"":0.0,""valueStr"":""warrior|sniper|tank|medic|support|caster|special|pioneer""},{""key"":""cost"",""value"":3.0,""valueStr"":null}]}]}","{""id"":""rogue_5_relic_legacy_149"",""name"":""“剑锤”"",""description"":""插在巨大石头上的剑，到底是谁这么无聊啊。"",""usage"":""所有干员的部署费用+3，但攻击力、防御力和生命+20%"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""rogue_5_relic_legacy_149"",""itemIconGroupId"":null,""type"":""RELIC"",""subType"":""NONE"",""rarity"":""RARE"",""sortId"":165,""canSacrifice"":true,""tinyIconColor"":null,""unlockCondDesc"":null,""shortUsage"":null}",3,IS2 / IS6 / IS7,是,IS2: 所有干员的部署费用+5，但攻击力、防御力和生命+10% || IS6: 所有干员的部署费用+3，但攻击力、防御力和生命+20% || IS7: 所有干员的部署费用+3，但攻击力、防御力和生命+50%,IS2:rogue_1_relic_m04 | IS6:rogue_5_relic_legacy_149 | IS7:rogue_6_relic_legacy_142
"""剑锤""",IS7,沉沦者的黑流树海,rogue_6,112,3,,rogue_6_relic_legacy_142,“剑锤”,RARE,,所有干员的部署费用+3，但攻击力、防御力和生命+50%,插在巨大石头上的剑，到底是谁这么无聊啊。,,rogue_6_relic_legacy_142,https://torappu.prts.wiki/assets/roguelike_topic_itempic/rogue_6_relic_legacy_142.png,../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_legacy_142.png,否,,,,,是,,"{""id"":""rogue_6_relic_legacy_142"",""checkCharBoxTypes"":{},""checkCharBoxParams"":{}}","{""id"":""rogue_6_relic_legacy_142"",""buffs"":[{""key"":""char_attribute_mul"",""blackboard"":[{""key"":""selector.profession"",""value"":0.0,""valueStr"":""warrior|sniper|tank|medic|support|caster|special|pioneer""},{""key"":""atk"",""value"":0.5,""valueStr"":null},{""key"":""def"",""value"":0.5,""valueStr"":null},{""key"":""max_hp"",""value"":0.5,""valueStr"":null}]},{""key"":""char_attribute_add"",""blackboard"":[{""key"":""selector.profession"",""value"":0.0,""valueStr"":""warrior|sniper|tank|medic|support|caster|special|pioneer""},{""key"":""cost"",""value"":3.0,""valueStr"":null}]}]}","{""id"":""rogue_6_relic_legacy_142"",""name"":""“剑锤”"",""description"":""插在巨大石头上的剑，到底是谁这么无聊啊。"",""usage"":""所有干员的部署费用+3，但攻击力、防御力和生命+50%"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""rogue_6_relic_legacy_142"",""itemIconGroupId"":null,""type"":""RELIC"",""subType"":""NONE"",""rarity"":""RARE"",""sortId"":999,""canSacrifice"":true,""tinyIconColor"":null,""unlockCondDesc"":null,""shortUsage"":null}",3,IS2 / IS6 / IS7,是,IS2: 所有干员的部署费用+5，但攻击力、防御力和生命+10% || IS6: 所有干员的部署费用+3，但攻击力、防御力和生命+20% || IS7: 所有干员的部署费用+3，但攻击力、防御力和生命+50%,IS2:rogue_1_relic_m04 | IS6:rogue_5_relic_legacy_149 | IS7:rogue_6_relic_legacy_142
"""国王的护戒""",IS3,水月与深蓝之树,rogue_2,202,4,,rogue_2_relic_grace_77,“国王的护戒”,RARE,,护盾值+2，将目标生命全部转化为等量护盾值（目标生命不会低于1）,深海教徒并非一蹴而就，他们在海洋与大地的交界处盘桓许久，为今后被称作“大静谧”的灾难做准备。,完成游戏结局,rogue_2_relic_grace_77,https://torappu.prts.wiki/assets/roguelike_topic_itempic/rogue_2_relic_grace_77.png,../../Assets/_Game/Resources/RogueRelics/Icons/rogue_2/rogue_2_relic_grace_77.png,否,,,,,是,,"{""id"":""rogue_2_relic_grace_77"",""checkCharBoxTypes"":{},""checkCharBoxParams"":{}}","{""id"":""rogue_2_relic_grace_77"",""buffs"":[{""key"":""global_buff_normal"",""blackboard"":[{""key"":""key"",""value"":0.0,""valueStr"":""rogue_2_relic_mark[king_suit]""}]},{""key"":""immediate_reward"",""blackboard"":[{""key"":""id"",""value"":0.0,""valueStr"":""rogue_2_shield""},{""key"":""count"",""value"":2.0,""valueStr"":null}]},{""key"":""count_a_to_b"",""blackboard"":[{""key"":""id_a"",""value"":0.0,""valueStr"":""rogue_2_hp""},{""key"":""id_b"",""value"":0.0,""valueStr"":""rogue_2_shield""}]}]}","{""id"":""rogue_2_relic_grace_77"",""name"":""“国王的护戒”"",""description"":""深海教徒并非一蹴而就，他们在海洋与大地的交界处盘桓许久，为今后被称作“大静谧”的灾难做准备。"",""usage"":""护盾值+2，将目标生命全部转化为等量护盾值（目标生命不会低于1）"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""rogue_2_relic_grace_77"",""itemIconGroupId"":null,""type"":""RELIC"",""subType"":""NONE"",""rarity"":""RARE"",""sortId"":999,""canSacrifice"":false,""tinyIconColor"":null,""unlockCondDesc"":""完成游戏结局"",""shortUsage"":null}",2,IS3 / IS4,否,IS3: 护盾值+2，将目标生命全部转化为等量护盾值（目标生命不会低于1） || IS4: 护盾值+2，将目标生命全部转化为等量护盾值（目标生命不会低于1）,IS3:rogue_2_relic_grace_77 | IS4:rogue_3_relic_legacy_163
"""国王的护戒""",IS4,探索者的银凇止境,rogue_3,195,5,,rogue_3_relic_legacy_163,“国王的护戒”,RARE,,护盾值+2，将目标生命全部转化为等量护盾值（目标生命不会低于1）,深海教徒并非一蹴而就，他们在海洋与大地的交界处盘桓许久，为今后被称作“大静谧”的灾难做准备。,在多局游戏中累计在目标生命值为1的情况下战斗胜利20次,rogue_3_relic_legacy_163,https://torappu.prts.wiki/assets/roguelike_topic_itempic/rogue_3_relic_legacy_163.png,../../Assets/_Game/Resources/RogueRelics/Icons/rogue_3/rogue_3_relic_legacy_163.png,否,,,,,是,,"{""id"":""rogue_3_relic_legacy_163"",""checkCharBoxTypes"":{},""checkCharBoxParams"":{}}","{""id"":""rogue_3_relic_legacy_163"",""buffs"":[{""key"":""global_buff_normal"",""blackboard"":[{""key"":""key"",""value"":0.0,""valueStr"":""rogue_2_relic_mark[king_suit]""}]},{""key"":""immediate_reward"",""blackboard"":[{""key"":""id"",""value"":0.0,""valueStr"":""rogue_3_shield""},{""key"":""count"",""value"":2.0,""valueStr"":null}]},{""key"":""count_a_to_b"",""blackboard"":[{""key"":""id_a"",""value"":0.0,""valueStr"":""rogue_3_hp""},{""key"":""id_b"",""value"":0.0,""valueStr"":""rogue_3_shield""}]}]}","{""id"":""rogue_3_relic_legacy_163"",""name"":""“国王的护戒”"",""description"":""深海教徒并非一蹴而就，他们在海洋与大地的交界处盘桓许久，为今后被称作“大静谧”的灾难做准备。"",""usage"":""护盾值+2，将目标生命全部转化为等量护盾值（目标生命不会低于1）"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""rogue_3_relic_legacy_163"",""itemIconGroupId"":null,""type"":""RELIC"",""subType"":""NONE"",""rarity"":""RARE"",""sortId"":999,""canSacrifice"":true,""tinyIconColor"":null,""unlockCondDesc"":""在多局游戏中累计在目标生命值为1的情况下战斗胜利20次"",""shortUsage"":null}",2,IS3 / IS4,否,IS3: 护盾值+2，将目标生命全部转化为等量护盾值（目标生命不会低于1） || IS4: 护盾值+2，将目标生命全部转化为等量护盾值（目标生命不会低于1）,IS3:rogue_2_relic_grace_77 | IS4:rogue_3_relic_legacy_163
"""国王的水晶""",IS3,水月与深蓝之树,rogue_2,251,9,,rogue_2_relic_grace_78,“国王的水晶”,RARE,,战斗结束后使目标生命-2（目标生命不会低于1），希望+1，源石锭+5,伊比利亚人与海嗣接触的历史远超他们想象，可惜他们那时并不知道，什么是海嗣。,,rogue_2_relic_grace_78,https://torappu.prts.wiki/assets/roguelike_topic_itempic/rogue_2_relic_grace_78.png,../../Assets/_Game/Resources/RogueRelics/Icons/rogue_2/rogue_2_relic_grace_78.png,否,rogue_2_enroll_2,,,,是,,"{""id"":""rogue_2_relic_grace_78"",""checkCharBoxTypes"":{},""checkCharBoxParams"":{}}","{""id"":""rogue_2_relic_grace_78"",""buffs"":[{""key"":""global_buff_normal"",""blackboard"":[{""key"":""key"",""value"":0.0,""valueStr"":""rogue_2_relic_mark[king_suit]""}]},{""key"":""battle_extra_reward"",""blackboard"":[{""key"":""id"",""value"":0.0,""valueStr"":""rogue_2_hp""},{""key"":""count"",""value"":-2.0,""valueStr"":null}]},{""key"":""battle_extra_reward"",""blackboard"":[{""key"":""id"",""value"":0.0,""valueStr"":""rogue_2_gold""},{""key"":""count"",""value"":5.0,""valueStr"":null}]},{""key"":""battle_extra_reward"",""blackboard"":[{""key"":""id"",""value"":0.0,""valueStr"":""rogue_2_population""},{""key"":""count"",""value"":1.0,""valueStr"":null}]}]}","{""id"":""rogue_2_relic_grace_78"",""name"":""“国王的水晶”"",""description"":""伊比利亚人与海嗣接触的历史远超他们想象，可惜他们那时并不知道，什么是海嗣。"",""usage"":""战斗结束后使目标生命-2（目标生命不会低于1），希望+1，源石锭+5"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""rogue_2_relic_grace_78"",""itemIconGroupId"":null,""type"":""RELIC"",""subType"":""NONE"",""rarity"":""RARE"",""sortId"":999,""canSacrifice"":false,""tinyIconColor"":null,""unlockCondDesc"":null,""shortUsage"":null}",2,IS3 / IS4,否,IS3: 战斗结束后使目标生命-2（目标生命不会低于1），希望+1，源石锭+5 || IS4: 战斗结束后使目标生命-2（目标生命不会低于1），希望+1，源石锭+5,IS3:rogue_2_relic_grace_78 | IS4:rogue_3_relic_legacy_173
"""国王的水晶""",IS4,探索者的银凇止境,rogue_3,242,10,,rogue_3_relic_legacy_173,“国王的水晶”,RARE,,战斗结束后使目标生命-2（目标生命不会低于1），希望+1，源石锭+5,伊比利亚人与海嗣接触的历史远超他们想象，可惜他们那时并不知道，什么是海嗣。,,rogue_3_relic_legacy_173,https://torappu.prts.wiki/assets/roguelike_topic_itempic/rogue_3_relic_legacy_173.png,../../Assets/_Game/Resources/RogueRelics/Icons/rogue_3/rogue_3_relic_legacy_173.png,否,rogue_3_enroll_2,,,,是,,"{""id"":""rogue_3_relic_legacy_173"",""checkCharBoxTypes"":{},""checkCharBoxParams"":{}}","{""id"":""rogue_3_relic_legacy_173"",""buffs"":[{""key"":""global_buff_normal"",""blackboard"":[{""key"":""key"",""value"":0.0,""valueStr"":""rogue_2_relic_mark[king_suit]""}]},{""key"":""battle_extra_reward"",""blackboard"":[{""key"":""id"",""value"":0.0,""valueStr"":""rogue_3_hp""},{""key"":""count"",""value"":-2.0,""valueStr"":null}]},{""key"":""battle_extra_reward"",""blackboard"":[{""key"":""id"",""value"":0.0,""valueStr"":""rogue_3_gold""},{""key"":""count"",""value"":5.0,""valueStr"":null}]},{""key"":""battle_extra_reward"",""blackboard"":[{""key"":""id"",""value"":0.0,""valueStr"":""rogue_3_population""},{""key"":""count"",""value"":1.0,""valueStr"":null}]}]}","{""id"":""rogue_3_relic_legacy_173"",""name"":""“国王的水晶”"",""description"":""伊比利亚人与海嗣接触的历史远超他们想象，可惜他们那时并不知道，什么是海嗣。"",""usage"":""战斗结束后使目标生命-2（目标生命不会低于1），希望+1，源石锭+5"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""rogue_3_relic_legacy_173"",""itemIconGroupId"":null,""type"":""RELIC"",""subType"":""NONE"",""rarity"":""RARE"",""sortId"":999,""canSacrifice"":true,""tinyIconColor"":null,""unlockCondDesc"":null,""shortUsage"":null}",2,IS3 / IS4,否,IS3: 战斗结束后使目标生命-2（目标生命不会低于1），希望+1，源石锭+5 || IS4: 战斗结束后使目标生命-2（目标生命不会低于1），希望+1，源石锭+5,IS3:rogue_2_relic_grace_78 | IS4:rogue_3_relic_legacy_173
"""复仇者""",IS2,傀影与猩红孤钻,rogue_1,069,2,,rogue_1_relic_a25,“复仇者”,SUPER_RARE,,所有敌方单位受到的物理伤害+35%,在阿斯卡纶第一次为军事委员会完成任务后，由特雷西斯亲手赠送，特蕾西娅为她安装的第一把武器。,,rogue_1_relic_a25,https://torappu.prts.wiki/assets/roguelike_topic_itempic/rogue_1_relic_a25.png,../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_a25.png,否,,,,,是,,"{""id"":""rogue_1_relic_a25"",""checkCharBoxTypes"":{},""checkCharBoxParams"":{}}","{""id"":""rogue_1_relic_a25"",""buffs"":[{""key"":""global_buff_stack_base_one"",""blackboard"":[{""key"":""key"",""value"":0.0,""valueStr"":""enemy_damage_scale[phy]""},{""key"":""damage_scale"",""value"":1.35,""valueStr"":null}]}]}","{""id"":""rogue_1_relic_a25"",""name"":""“复仇者”"",""description"":""在阿斯卡纶第一次为军事委员会完成任务后，由特雷西斯亲手赠送，特蕾西娅为她安装的第一把武器。"",""usage"":""所有敌方单位受到的物理伤害+35%"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""rogue_1_relic_a25"",""itemIconGroupId"":null,""type"":""RELIC"",""subType"":""NONE"",""rarity"":""SUPER_RARE"",""sortId"":86,""canSacrifice"":false,""tinyIconColor"":null,""unlockCondDesc"":null,""shortUsage"":null}",6,IS2 / IS3 / IS4 / IS5 / IS6 / IS7,否,IS2: 所有敌方单位受到的物理伤害+35% || IS3: 所有敌方单位受到的物理伤害+35% || IS4: 所有敌方单位受到的物理伤害+35% || IS5: 所有敌方单位受到的物理伤害+35% || IS6: 所有敌方单位受到的物理伤害+35% || IS7: 所有敌方单位受到的物理伤害+35%,IS2:rogue_1_relic_a25 | IS3:rogue_2_relic_fight_24 | IS4:rogue_3_relic_legacy_87 | IS5:rogue_4_relic_legacy_82 | IS6:rogue_5_relic_legacy_17 | IS7:rogue_6_relic_legacy_7
"""复仇者""",IS3,水月与深蓝之树,rogue_2,065,2,,rogue_2_relic_fight_24,“复仇者”,SUPER_RARE,,所有敌方单位受到的物理伤害+35%,在阿斯卡纶第一次为军事委员会完成任务后，由特雷西斯亲手赠送，特蕾西娅为她安装的第一把武器。,,rogue_2_relic_fight_24,https://torappu.prts.wiki/assets/roguelike_topic_itempic/rogue_2_relic_fight_24.png,../../Assets/_Game/Resources/RogueRelics/Icons/rogue_2/rogue_2_relic_fight_24.png,是,,,,,是,,"{""id"":""rogue_2_relic_fight_24"",""checkCharBoxTypes"":{},""checkCharBoxParams"":{}}","{""id"":""rogue_2_relic_fight_24"",""buffs"":[{""key"":""global_buff_stack_base_one"",""blackboard"":[{""key"":""key"",""value"":0.0,""valueStr"":""enemy_damage_scale[phy]""},{""key"":""damage_scale"",""value"":1.35,""valueStr"":null}]}]}","{""id"":""rogue_2_relic_fight_24"",""name"":""“复仇者”"",""description"":""在阿斯卡纶第一次为军事委员会完成任务后，由特雷西斯亲手赠送，特蕾西娅为她安装的第一把武器。"",""usage"":""所有敌方单位受到的物理伤害+35%"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""rogue_2_relic_fight_24"",""itemIconGroupId"":null,""type"":""RELIC"",""subType"":""NONE"",""rarity"":""SUPER_RARE"",""sortId"":999,""canSacrifice"":true,""tinyIconColor"":null,""unlockCondDesc"":null,""shortUsage"":null}",6,IS2 / IS3 / IS4 / IS5 / IS6 / IS7,否,IS2: 所有敌方单位受到的物理伤害+35% || IS3: 所有敌方单位受到的物理伤害+35% || IS4: 所有敌方单位受到的物理伤害+35% || IS5: 所有敌方单位受到的物理伤害+35% || IS6: 所有敌方单位受到的物理伤害+35% || IS7: 所有敌方单位受到的物理伤害+35%,IS2:rogue_1_relic_a25 | IS3:rogue_2_relic_fight_24 | IS4:rogue_3_relic_legacy_87 | IS5:rogue_4_relic_legacy_82 | IS6:rogue_5_relic_legacy_17 | IS7:rogue_6_relic_legacy_7
"""复仇者""",IS4,探索者的银凇止境,rogue_3,083,3,,rogue_3_relic_legacy_87,“复仇者”,SUPER_RARE,,所有敌方单位受到的物理伤害+35%,在阿斯卡纶第一次为军事委员会完成任务后，由特雷西斯亲手赠送，特蕾西娅为她安装的第一把武器。,,rogue_3_relic_legacy_87,https://torappu.prts.wiki/assets/roguelike_topic_itempic/rogue_3_relic_legacy_87.png,../../Assets/_Game/Resources/RogueRelics/Icons/rogue_3/rogue_3_relic_legacy_87.png,是,,,,,是,,"{""id"":""rogue_3_relic_legacy_87"",""checkCharBoxTypes"":{},""checkCharBoxParams"":{}}","{""id"":""rogue_3_relic_legacy_87"",""buffs"":[{""key"":""global_buff_stack_base_one"",""blackboard"":[{""key"":""key"",""value"":0.0,""valueStr"":""enemy_damage_scale[phy]""},{""key"":""damage_scale"",""value"":1.35,""valueStr"":null}]}]}","{""id"":""rogue_3_relic_legacy_87"",""name"":""“复仇者”"",""description"":""在阿斯卡纶第一次为军事委员会完成任务后，由特雷西斯亲手赠送，特蕾西娅为她安装的第一把武器。"",""usage"":""所有敌方单位受到的物理伤害+35%"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""rogue_3_relic_legacy_87"",""itemIconGroupId"":null,""type"":""RELIC"",""subType"":""NONE"",""rarity"":""SUPER_RARE"",""sortId"":999,""canSacrifice"":true,""tinyIconColor"":null,""unlockCondDesc"":null,""shortUsage"":null}",6,IS2 / IS3 / IS4 / IS5 / IS6 / IS7,否,IS2: 所有敌方单位受到的物理伤害+35% || IS3: 所有敌方单位受到的物理伤害+35% || IS4: 所有敌方单位受到的物理伤害+35% || IS5: 所有敌方单位受到的物理伤害+35% || IS6: 所有敌方单位受到的物理伤害+35% || IS7: 所有敌方单位受到的物理伤害+35%,IS2:rogue_1_relic_a25 | IS3:rogue_2_relic_fight_24 | IS4:rogue_3_relic_legacy_87 | IS5:rogue_4_relic_legacy_82 | IS6:rogue_5_relic_legacy_17 | IS7:rogue_6_relic_legacy_7
